workflow,process,n,n_c,strategy,lr_sizey_MAPE,lr_joint_MAPE,knn_sizey_MAPE,knn_joint_MAPE,mlp_sizey_MAPE,mlp_joint_MAPE,rf_sizey_MAPE,rf_joint_MAPE,lgbm_sizey_MAPE,lgbm_joint_MAPE,ngb_sizey_MAPE,ngb_joint_MAPE
chipseq,NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES,6,6,global_fallback,78.63555229902032,74.44190524484279,52.457753505703586,1.4551530438152909,64.46273209752245,49.69132445010334,32.47751724801177,11.758209739114472,62.87213533167494,24.019823639278183,60.9967950997377,45.69470386933029
chipseq,NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX,6,6,global_fallback,10579.112173110456,9866.834777603179,126.1036907561165,4.063286913511632,7373.269066416178,7063.238963261331,9.29221592452572,34.17967999119427,7042.929844278974,85.2419192382532,21306.976895697193,21826.514173133542
chipseq,NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:FRIP_SCORE,4,4,global_fallback,7651.998288175675,6851.484517258494,2045.7265827514084,83.82265462240774,7139.250449867477,5152.695183017371,376.98282727885805,41.713591390014535,6971.953739604244,20.639364646048357,754065.1166486589,5.143986664146962e+67
chipseq,NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:HOMER_ANNOTATEPEAKS,4,4,global_fallback,8.807966270593269,12.395744114961344,486.01154423448287,0.10365769584681124,106.91717790551357,88.9676726392085,120.93971069113557,2.840011647069702,143.50310434469552,9.403981719592053,471.8552179155157,48.455877400542064
chipseq,NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:MACS3_CALLPEAK,4,4,global_fallback,386.1226953129154,408.9389453490081,457.90797412357193,357.837342883637,659.3742965526251,729.2790273327782,109.73091589579825,101.27786806540965,631.7795936632652,435.5818771952935,692.4303798162427,617.6572055206543
chipseq,NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:MULTIQC_CUSTOM_PEAKS,4,4,global_fallback,5800.0590179788005,6326.674632680632,63090.65945033123,11.5898322377581,22883.038751297627,4.211406844142675,2154.2239605347404,1.8720364897455102,24588.877602642628,18.30919887986908,415367.333016849,107.96189698109114
chipseq,NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:PLOT_HOMER_ANNOTATEPEAKS,1,1,global_fallback,288.5224451704165,276.7024982904042,4.625922740499151,160.5206026936703,224.0604927197559,258.2570466048535,81.95114302134382,59.7959096679316,99.00521102015492,168.66370727486623,185.43437984935483,237.02512074354067
chipseq,NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:PLOT_MACS3_QC,1,1,global_fallback,187.8758308411456,175.65437663321114,119.01925100176535,125.4714344586538,137.05427623589804,148.04441140093428,35.13064992388694,4.762566540174511,106.50443338046678,2.903336991148251,160.45853263713667,125.48893811216766
chipseq,NFCORE_CHIPSEQ:CHIPSEQ:BED_CONSENSUS_QUANTIFY_QC_BEDTOOLS_FEATURECOUNTS_DESEQ2:ANNOTATE_BOOLEAN_PEAKS,1,1,global_fallback,8124.192713809818,7105.078184550275,16323.252599705504,14.758901736137142,8641.457552493332,161.24566878571466,1278.8801208908937,10.725034225695431,6326.272129989076,2.281788725494103,42517.09780433966,227.5278119218176
chipseq,NFCORE_CHIPSEQ:CHIPSEQ:BED_CONSENSUS_QUANTIFY_QC_BEDTOOLS_FEATURECOUNTS_DESEQ2:DESEQ2_QC,1,1,global_fallback,29.723994544828642,23.94908202069173,87.72207149845991,62.756552457590416,44.70611341880625,42.03029252458617,27.855530883968893,28.53284357065693,108.918611266393,59.485756842804115,114.35062794694095,81.67407838491401
