workflow,process,a,c,M,runtime_sec,safe_old_bytes,safe_new_bytes,OOM_old,OOM_new,waste_old_GBh,waste_new_GBh
iwd,demToGraph,30901016.0,,318812160.0,6.727,320688562.75546473,348316554.2355107,0,0,3.2654656449154993e-06,5.13458986720796e-05
iwd,demToGraph,30900967.0,,305311744.0,6.372,320834108.14423496,362152427.12027264,0,0,2.558770080590236e-05,9.369851008326054e-05
iwd,demToGraph,30900966.0,,311746560.0,6.753,321133975.7468516,362440441.8113466,0,0,1.6399870972896463e-05,8.856251211630582e-05
iwd,demToGraph,30901012.0,,312692736.0,6.609,313944650.3210418,349425919.94784003,0,0,2.1404642994012178e-06,6.28046724301853e-05
iwd,demToGraph,30918774.0,,299192320.0,6.349,307481328.45687383,450299160.6072992,0,0,1.3614620468240845e-05,0.00024819160165258543
iwd,demToGraph,30900355.0,,289787904.0,5.943,309150866.7583562,589097384.2974691,0,0,2.976974877862854e-05,0.0004601758597956399
iwd,demToGraph,30900788.0,,310374400.0,6.465,327670271.5986914,417533672.259094,0,0,2.8927347386240317e-05,0.00017922389609610937
iwd,demToGraph,30900785.0,,311984128.0,6.476,320080600.5161239,418530646.3884821,0,0,1.3564391479314802e-05,0.00017850226543735353
iwd,demToGraph,30901049.0,,290033664.0,6.075,320688562.75546473,339297654.19851655,0,0,4.817744870655867e-05,7.74236241914301e-05
iwd,demToGraph,30900355.0,,290119680.0,5.924,309150866.7583562,589097384.2974691,0,0,2.9166112746138494e-05,0.0004581961988415071
iwd,demToGraph,30900957.0,,301961216.0,7.115,319737423.85264856,365042903.8926812,0,0,3.271987632527391e-05,0.00011611166134798138
iwd,demToGraph,30900965.0,,289079296.0,6.18,314410993.9756878,362728685.5880761,0,0,4.049956940573707e-05,0.0001177484655065437
iwd,demToGraph,30901011.0,,307924992.0,6.369,313944650.3210418,349703813.0314231,0,0,9.918379454230726e-06,6.883749509363063e-05
iwd,demToGraph,30901013.0,,311230464.0,6.78,327111206.4923794,349148247.6927509,0,0,2.7854677004722185e-05,6.650744560610579e-05
iwd,demToGraph,30900470.0,,313147392.0,6.619,327378433.14660037,537628792.1028658,0,0,2.4368381476792356e-05,0.00038438848822089654
iwd,demToGraph,30901050.0,,312127488.0,6.687,318071441.79775923,339028030.72274685,0,0,1.0282633993157912e-05,4.653610112844246e-05
iwd,demToGraph,30900471.0,,301023232.0,6.346,323726385.3083423,537201556.4235635,0,0,3.7272101396161885e-05,0.00038773743611448283
iwd,demToGraph,30900958.0,,302096384.0,6.624,319081414.10664135,364752821.0496063,0,0,2.9106117222663097e-05,0.00010737017185546051
iwd,demToGraph,30919185.0,,289341440.0,6.143,304120841.12605,466722012.90290064,0,0,2.348740200132471e-05,0.00028189293919713717
iwd,demToGraph,30900966.0,,310452224.0,6.852,321133975.7468516,362440441.8113466,0,0,1.8934657944528624e-05,9.215521430683293e-05
iwd,demToGraph,30911811.0,,289988608.0,6.086,305792901.2336532,308857543.06017625,0,0,2.4883109822665785e-05,2.9708242969026762e-05
iwd,demToGraph,30900784.0,,290508800.0,5.927,315725503.2524355,418863499.85207385,0,0,3.866525371486146e-05,0.0001968087178404654
iwd,demToGraph,30901050.0,,308604928.0,6.982,318071441.79775923,339028030.72274685,0,0,1.7098875337579128e-05,5.495168041288297e-05
iwd,demToGraph,30901013.0,,314421248.0,6.69,327111206.4923794,349148247.6927509,0,0,2.1962609947663826e-05,6.0102288700356496e-05
iwd,demToGraph,30900784.0,,289697792.0,6.261,315725503.2524355,418863499.85207385,0,0,4.2157739233095896e-05,0.00020921294910156333
iwd,demToGraph,30900960.0,,301121536.0,6.459,319081414.10664135,364173346.7586286,0,0,3.00100209529813e-05,0.00010535629199455134
iwd,demToGraph,30900470.0,,310206464.0,6.678,327378433.14660037,537628792.1028658,0,0,2.9666351868718563e-05,0.00039289558178821215
iwd,demToGraph,30900925.0,,289968128.0,6.028,319685001.8263125,374448375.94779015,0,0,4.634191681139679e-05,0.00013174254618721678
iwd,demToGraph,30900357.0,,289972224.0,6.104,311557050.57415295,588161480.7627717,0,0,3.408479747689163e-05,0.00047087338837897375
iwd,demToGraph,30901012.0,,289607680.0,6.161,313944650.3210418,349425919.94784003,0,0,3.878960441485944e-05,9.53416071828668e-05
iwd,demToGraph,30900739.0,,312528896.0,6.595,315823803.4190218,434119120.79497254,0,0,5.62154440324357e-06,0.00020744887815034115
iwd,demToGraph,30901050.0,,316776448.0,6.565,318071441.79775923,339028030.72274685,0,0,2.1993788689502664e-06,3.779142489005735e-05
iwd,demToGraph,30900566.0,,313311232.0,6.674,315329181.47419715,498124545.8752344,0,0,3.4841281441536457e-06,0.00031909285961839544
iwd,demToGraph,30900964.0,,289542144.0,6.199,314410993.9756878,363017158.60102004,0,0,3.9881819910703194e-05,0.00011783083267295816
iwd,demToGraph,30900469.0,,314793984.0,6.812,321581979.5362447,538056367.5621326,0,0,1.1962275950263675e-05,0.0003934484380880079
iwd,demToGraph,30900928.0,,289316864.0,6.126,315448478.7528692,373556413.4239453,0,0,4.141339824640416e-05,0.00013350288688181614
iwd,demToGraph,30913813.0,,290275328.0,6.037,303884631.404617,391942810.7018813,0,0,2.1254686393897385e-05,0.0001587818565755817
iwd,demToGraph,30900356.0,,310902784.0,6.32,316529253.21734524,588629246.49701,0,0,9.199212577820523e-06,0.0004540795778496354
iwd,demToGraph,30900357.0,,289439744.0,6.071,311557050.57415295,588161480.7627717,0,0,3.473682334534889e-05,0.0004691640080384256
iwd,demToGraph,30900957.0,,308531200.0,6.687,319737423.85264856,365042903.8926812,0,0,1.938600168218342e-05,9.776138698743219e-05
iwd,demToGraph,30918057.0,,289988608.0,6.038,304042240.1246831,423019902.8856176,0,0,2.1952264106324473e-05,0.000207799527825001
iwd,demToGraph,30919088.0,,289927168.0,6.16,304120841.12605,462792876.26613957,0,0,2.2618986473850278e-05,0.0002754781713190333
iwd,demToGraph,30900740.0,,314621952.0,6.683,319636688.5044726,433774143.8295391,0,0,8.669962294035093e-06,0.00020600185263819422
iwd,demToGraph,30912727.0,,289173504.0,6.218,307998603.960654,411561227.3771809,0,0,3.0282075505327718e-05,0.0001968730199562879
iwd,demToGraph,30918915.0,,290082816.0,5.958,307481328.45687383,455867135.7364012,0,0,2.681700337317418e-05,0.0002555298145522773
iwd,demToGraph,30900926.0,,289853440.0,6.159,320961175.40141535,374150818.71383023,0,0,4.956512772408757e-05,0.0001343141919153226
iwd,demToGraph,30900983.0,,303763456.0,6.928,315887260.6663217,357575196.41385406,0,0,2.1729235104874166e-05,9.644562833507362e-05
iwd,demToGraph,30900567.0,,314978304.0,6.405,316354236.9947667,497728704.16325796,0,0,2.2798908127991253e-06,0.0003028134073041967
iwd,demToGraph,30900985.0,,307003392.0,6.831,325117244.5825718,357007125.48376286,0,0,3.2010521064912904e-05,8.836582702159884e-05
