workflow,process,task_hash,a_bytes,c_bytes,M_peak_rss_bytes,M_cgroup_peak_bytes,runtime_seconds
iwd,transectAnalysis,4a98e874,265111699,,1767444480,1767444480,39.689
iwd,transectAnalysis,7e235f75,286404239,,1864589312,1864589312,18.762
iwd,transectAnalysis,2dfa1262,262114783,,1756962816,1756962816,356.51
iwd,transectAnalysis,58e36191,279972810,,1840123904,1840123904,52.666
iwd,transectAnalysis,7cf95df6,285285267,,1863540736,1863540736,41.668
iwd,transectAnalysis,7147593c,272901420,,1809059840,1809059840,304.951
iwd,transectAnalysis,a1a1e1af,282823355,,1918242816,1918242816,18.695
iwd,transectAnalysis,ff320d87,265574193,,1775808512,1775808512,92.942
iwd,transectAnalysis,c9af874f,274188330,,1813884928,1813884928,27.009
iwd,transectAnalysis,8f6b75cd,276196679,,1825124352,1825124352,11.498
iwd,transectAnalysis,ed3b60f6,272740552,,1806872576,1806872576,14.057
iwd,transectAnalysis,8d89adb3,278527748,,1831415808,1831415808,42.273
iwd,transectAnalysis,5cf27ece,266323227,,1773309952,1773309952,7.692
iwd,transectAnalysis,a633d313,287561547,,1884893184,1884893184,149.246
iwd,transectAnalysis,cfa77ce8,284080855,,1862193152,1862193152,20.589
iwd,transectAnalysis,5e8cf59d,273560408,,1813164032,1813164032,127.317
iwd,transectAnalysis,ec999f8a,281758097,,1855705088,1855705088,144.577
iwd,transectAnalysis,2d687f8c,264144565,,1762996224,1762996224,20.035
iwd,transectAnalysis,0c07de43,284864378,,1858420736,1858420736,84.861
iwd,transectAnalysis,1a39a913,266110981,,1772593152,1772593152,5.006
iwd,transectAnalysis,af83de68,280777493,,1840070656,1840070656,91.159
iwd,transectAnalysis,ec1eb24b,282358290,,1850179584,1850179584,105.427
iwd,transectAnalysis,00af7e2b,262780267,,1750839296,1750839296,5.004
iwd,transectAnalysis,0d5c5644,281559410,,1850671104,1850671104,93.699
iwd,transectAnalysis,7f6507ef,275510901,,1821413376,1821413376,31.374
iwd,transectAnalysis,039681da,269163222,,1791688704,1791688704,17.215
iwd,transectAnalysis,214f5403,261999131,,1758580736,1758580736,44.449
iwd,transectAnalysis,def764d9,267416096,,1779474432,1779474432,6.861
iwd,transectAnalysis,1654ea47,261961622,,1745592320,1745592320,3.294
iwd,transectAnalysis,b2767b2f,263070394,,1755844608,1755844608,32.117
iwd,transectAnalysis,a62835a7,266762748,,1778556928,1778556928,5.561
iwd,transectAnalysis,3a556dc3,265472971,,1775005696,1775005696,187.766
iwd,transectAnalysis,368b1eeb,266482644,,1775648768,1775648768,7.708
iwd,transectAnalysis,37564cc1,263660658,,1761054720,1761054720,45.927
iwd,transectAnalysis,08937a16,278656432,,1840582656,1840582656,172.093
iwd,transectAnalysis,aa1a0a5a,289910666,,1879916544,1879916544,208.199
iwd,transectAnalysis,c771f936,285468967,,1850368000,1850368000,49.592
iwd,transectAnalysis,5911eab4,264625774,,1756438528,1756438528,7.962
iwd,networkAnalysis,4c233b47,16616166,,63479808,63479808,1.472
iwd,transectAnalysis,4b83a430,263360134,,1760096256,1760096256,343.89
iwd,networkAnalysis,326e67b1,16536403,,73269248,73269248,1.202
iwd,networkAnalysis,219f54ae,16524168,,65388544,65388544,1.236
iwd,transectAnalysis,214850cd,283386910,,1867235328,1867235328,15.404
iwd,transectAnalysis,ce925227,264205834,,1751916544,1751916544,4.328
iwd,transectAnalysis,1b7c6257,268988608,,1789386752,1789386752,418.27
iwd,transectAnalysis,05ea2cc4,285480757,,1858433024,1858433024,68.952
iwd,transectAnalysis,2c848296,259848150,,1742348288,1742348288,3.474
iwd,transectAnalysis,7ed422fe,260515673,,1746530304,1746530304,2.946
iwd,transectAnalysis,7e1225b9,272947538,,1813061632,1813061632,291.922
iwd,transectAnalysis,ef3a0653,285454895,,1861062656,1861062656,60.599
iwd,transectAnalysis,04cad656,292920162,,1885106176,1885106176,27.776
iwd,transectAnalysis,25e6f0de,268117064,,1785622528,1785622528,116.306
iwd,transectAnalysis,80280265,270882524,,1799606272,1799606272,103.343
iwd,transectAnalysis,6eac9c4d,266494448,,1776357376,1776357376,78.952
iwd,transectAnalysis,3dcab569,291252213,,1887244288,1887244288,46.217
iwd,transectAnalysis,284b72cf,263486286,,1753190400,1753190400,3.845
iwd,transectAnalysis,d874f19c,283112159,,1851109376,1851109376,182.574
iwd,transectAnalysis,5a6e1582,284147545,,1859956736,1859956736,17.36
iwd,transectAnalysis,2c20a284,282760279,,1884147712,1884147712,42.477
iwd,transectAnalysis,c70b5311,285441704,,1860603904,1860603904,18.543
iwd,transectAnalysis,9bb6eaaa,265897604,,1781510144,1781510144,328.162
iwd,transectAnalysis,06900a15,285641696,,1862926336,1862926336,37.977
iwd,transectAnalysis,1641057d,271267184,,1797922816,1797922816,265.399
iwd,transectAnalysis,08b773a9,279507604,,1879777280,1879777280,13.599
iwd,transectAnalysis,8f968b66,276904386,,1822027776,1822027776,89.532
iwd,transectAnalysis,386a393b,282783109,,1894891520,1894891520,76.264
iwd,transectAnalysis,d9ff7f06,281647335,,1844563968,1844563968,73.71
