process,task_hash,task_name,work_dir,wrapper_pid,ebpf_tsv,ebpf_files,ebpf_read_bytes,ebpf_mmap_bytes,ebpf_total_bytes,trace_realtime_ms,trace_rchar,trace_wchar,trace_syscr,trace_syscw,trace_read_bytes,trace_write_bytes,trace_vmem_kb,trace_rss_kb,trace_peak_vmem_kb,trace_peak_rss_kb,trace_vol_ctxt,trace_inv_ctxt
BASICPY,a1b8aaf9d01c044f4d952e4214645481,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0335_2),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a1/b8aaf9d01c044f4d952e4214645481,341327,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a1b8aaf9d01c044f4d952e4214645481/ebpf_attribution_341507.tsv,4330,1885405291,34537472,1919942763,37686,1881775307,711385,49417,117,181888000,720896,34786168,1063008,34786168,1063008,12004,2985
BASICPY,a2a7865ddaacdcf6da35cff9d8612b6e,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0011_1),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a2/a7865ddaacdcf6da35cff9d8612b6e,1645153,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a2a7865ddaacdcf6da35cff9d8612b6e/ebpf_attribution_1645574.tsv,4329,1885770458,34705408,1920475866,40820,1882029774,712286,49439,117,181883904,720896,34790064,1068008,34790064,1068008,13839,3537
BASICPY,a2bd5c09df129b6ef9a12e40bade6e5f,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0378_2),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a2/bd5c09df129b6ef9a12e40bade6e5f,383442,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a2bd5c09df129b6ef9a12e40bade6e5f/ebpf_attribution_383685.tsv,4328,1885294853,34226176,1919521029,35652,1881773719,711385,49440,117,181893120,720896,34783824,1061564,34783824,1061564,12102,2803
BASICPY,a2ec1b7ea51610d7cebcbe4d6733a63a,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0199_2),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a2/ec1b7ea51610d7cebcbe4d6733a63a,240218,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a2ec1b7ea51610d7cebcbe4d6733a63a/ebpf_attribution_240342.tsv,4324,1884855773,32284672,1917140445,24811,1881773631,711269,49340,124,181889024,770048,34784580,1064024,34784580,1064024,12444,2275
BASICPY,a310d4f37fc6bffba05d62a3c19948e0,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0130_1),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a3/10d4f37fc6bffba05d62a3c19948e0,1747279,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a310d4f37fc6bffba05d62a3c19948e0/ebpf_attribution_1747455.tsv,4328,1885549600,34078720,1919628320,37493,1882028144,712170,49338,124,181888000,835584,34786064,1070212,34812924,1070212,12572,3373
BASICPY,a33beb70c19c9cf52826e8dceaa6b1f8,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0298_1),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a3/3beb70c19c9cf52826e8dceaa6b1f8,2049151,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a33beb70c19c9cf52826e8dceaa6b1f8/ebpf_attribution_2049800.tsv,4327,1885551400,34041856,1919593256,35015,1882029766,712286,49439,117,181888000,720896,34790200,1069076,34790200,1069076,12875,4218
BASICPY,a34618da84633f9e61458c03e0676b14,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0376_2),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a3/4618da84633f9e61458c03e0676b14,383443,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a34618da84633f9e61458c03e0676b14/ebpf_attribution_383708.tsv,4327,1885294501,34021376,1919315877,36858,1881773396,711385,49439,117,181891072,720896,34785080,1063664,34785080,1063664,12015,2835
BASICPY,a3476731c885383520141f973cafadd2,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0189_1),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a3/476731c885383520141f973cafadd2,225879,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a3476731c885383520141f973cafadd2/ebpf_attribution_226151.tsv,4327,1885547518,34119680,1919667198,35477,1882026553,712273,49339,117,181888000,720896,34785456,1070376,34785472,1070376,13085,3193
BASICPY,a358420f26560f00db93f76fc4a1288a,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0380_2),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a3/58420f26560f00db93f76fc4a1288a,383467,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a358420f26560f00db93f76fc4a1288a/ebpf_attribution_383651.tsv,4327,1885294918,34050048,1919344966,35798,1881773760,711385,49440,117,181862400,720896,34784424,1067100,34784424,1067100,12037,2794
BASICPY,a36d1f9d2be3b2f207c0dafce5e735c0,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0276_2),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a3/6d1f9d2be3b2f207c0dafce5e735c0,298964,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a36d1f9d2be3b2f207c0dafce5e735c0/ebpf_attribution_299007.tsv,4326,1885073219,33042432,1918115651,30521,1881771677,711269,49338,124,181883904,835584,34785952,1065468,34812924,1065468,12651,2441
