process,task_hash,task_name,work_dir,wrapper_pid,launch_pid,audit_pid,ebpf_tsv,ebpf_files,ebpf_read_bytes,ebpf_mmap_bytes,ebpf_total_bytes,trace_task_id,trace_native_id,trace_tag,trace_status,trace_exit,trace_attempt,trace_cpus,trace_time,trace_memory,trace_duration,trace_realtime,trace_queue,trace_cpu_pct,trace_mem_pct,trace_rchar,trace_wchar,trace_syscr,trace_syscw,trace_read_bytes,trace_write_bytes,trace_vmem,trace_rss,trace_peak_vmem,trace_peak_rss
FLAGSTAT_BAM,c64213ee8422db9f11f9d94f9179d937,FLAGSTAT_BAM (ERR1094294_chunk_23),/shared/bowtie2_audit_nf/work/c6/4213ee8422db9f11f9d94f9179d937,2323508,2323766,2323773,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c64213ee8422db9f11f9d94f9179d937/ebpf_attribution_2323766.tsv,1204,10886360,2060288,12946648,2578,80920,ERR1094294_chunk_23,COMPLETED,0,1,1,1h,1 GB,29.5s,339ms,compute,44.60%,0.00%,9 MB,718 B,530,13,7 MB,4 KB,13.5 MB,6.6 MB,13.5 MB,6.6 MB
FLAGSTAT_BAM,c6484796e5d6f2c6f60d537c69ae0ea7,FLAGSTAT_BAM (ERR1094271_chunk_5),/shared/bowtie2_audit_nf/work/c6/484796e5d6f2c6f60d537c69ae0ea7,2271298,2271547,2271549,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c6484796e5d6f2c6f60d537c69ae0ea7/ebpf_attribution_2271547.tsv,1503,10973392,2019328,12992720,2282,80624,ERR1094271_chunk_5,COMPLETED,0,1,1,1h,1 GB,16.9s,321ms,compute,42.90%,0.00%,8.8 MB,718 B,539,13,8.2 MB,4 KB,7.6 MB,3.4 MB,7.6 MB,3.4 MB
FLAGSTAT_BAM,c65c5d22629bbc9f489d6241c822978c,FLAGSTAT_BAM (ERR1094271_chunk_20),/shared/bowtie2_audit_nf/work/c6/5c5d22629bbc9f489d6241c822978c,120607,120999,121010,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c65c5d22629bbc9f489d6241c822978c/ebpf_attribution_120999.tsv,1113,10424859,2080768,12505627,2311,80653,ERR1094271_chunk_20,COMPLETED,0,1,1,1h,1 GB,14.7s,311ms,compute,48.60%,0.00%,8.6 MB,699 B,532,13,8.5 MB,4 KB,13.5 MB,6.7 MB,13.5 MB,6.7 MB
FLAGSTAT_BAM,c6ad859989a44ed1f097cc43af3282a8,FLAGSTAT_BAM (ERR1094259_chunk_19),/shared/bowtie2_audit_nf/work/c6/ad859989a44ed1f097cc43af3282a8,2244185,2244426,2244435,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c6ad859989a44ed1f097cc43af3282a8/ebpf_attribution_2244426.tsv,1390,11684467,2060288,13744755,2116,80458,ERR1094259_chunk_19,COMPLETED,0,1,1,1h,1 GB,6.5s,345ms,compute,44.20%,0.00%,9.6 MB,718 B,557,13,7.5 MB,4 KB,13.5 MB,6.7 MB,13.5 MB,6.7 MB
FLAGSTAT_BAM,c70a87d6af8712807d0eae3e02e9c04a,FLAGSTAT_BAM (ERR1094308_chunk_15),/shared/bowtie2_audit_nf/work/c7/0a87d6af8712807d0eae3e02e9c04a,2249115,2249240,2249242,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c70a87d6af8712807d0eae3e02e9c04a/ebpf_attribution_2249240.tsv,1196,9857624,2101248,11958872,2146,80488,ERR1094308_chunk_15,COMPLETED,0,1,1,1h,1 GB,19.3s,240ms,compute,37.70%,0.00%,8 MB,718 B,514,13,6.5 MB,4 KB,13.5 MB,6.8 MB,13.5 MB,6.8 MB
FLAGSTAT_BAM,c77ff6ec681bdf6ef762b988cdd972cf,FLAGSTAT_BAM (ERR1094274_chunk_34),/shared/bowtie2_audit_nf/work/c7/7ff6ec681bdf6ef762b988cdd972cf,2223310,2223335,2223336,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c77ff6ec681bdf6ef762b988cdd972cf/ebpf_attribution_2223335.tsv,936,8642329,2056192,10698521,1989,80331,ERR1094274_chunk_34,COMPLETED,0,1,1,1h,1 GB,22.8s,174ms,compute,47.30%,0.00%,7.1 MB,717 B,456,13,3.5 MB,4 KB,13.5 MB,6.8 MB,13.5 MB,6.8 MB
FLAGSTAT_BAM,c7d961352ef5022a6c112581b630afcb,FLAGSTAT_BAM (ERR1094264_chunk_46),/shared/bowtie2_audit_nf/work/c7/d961352ef5022a6c112581b630afcb,2138860,2138934,2138935,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c7d961352ef5022a6c112581b630afcb/ebpf_attribution_2138934.tsv,978,11045877,2043904,13089781,1729,80072,ERR1094264_chunk_46,COMPLETED,0,1,1,1h,1 GB,30.9s,304ms,compute,46.70%,0.00%,9.3 MB,718 B,535,13,4 KB,4 KB,13.5 MB,6.7 MB,13.5 MB,6.7 MB
FLAGSTAT_BAM,c814d87c2a1e72cadd4f8e15713b5be5,FLAGSTAT_BAM (ERR1094281_chunk_18),/shared/bowtie2_audit_nf/work/c8/14d87c2a1e72cadd4f8e15713b5be5,2355131,2355190,2355191,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c814d87c2a1e72cadd4f8e15713b5be5/ebpf_attribution_2355190.tsv,1034,4400613,2056192,6456805,2750,81092,ERR1094281_chunk_18,COMPLETED,0,1,1,1h,1 GB,21.5s,174ms,compute,35.80%,0.00%,3 MB,710 B,322,13,1.7 MB,4 KB,13.5 MB,6.7 MB,13.5 MB,6.7 MB
FLAGSTAT_BAM,c81d047cbf7e10f3b4da96754001a9ef,FLAGSTAT_BAM (ERR1094274_chunk_49),/shared/bowtie2_audit_nf/work/c8/1d047cbf7e10f3b4da96754001a9ef,2227422,2227521,2227524,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c81d047cbf7e10f3b4da96754001a9ef/ebpf_attribution_2227521.tsv,1162,9820725,2060288,11881013,2013,80355,ERR1094274_chunk_49,COMPLETED,0,1,1,1h,1 GB,13.2s,314ms,compute,41.40%,0.00%,8 MB,718 B,491,13,4 KB,4 KB,13.5 MB,6.7 MB,13.5 MB,6.7 MB
FLAGSTAT_BAM,c84d4d6851ed2e18cf7b019d79d49b55,FLAGSTAT_BAM (ERR1094259_chunk_11),/shared/bowtie2_audit_nf/work/c8/4d4d6851ed2e18cf7b019d79d49b55,2016683,2016738,2016739,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c84d4d6851ed2e18cf7b019d79d49b55/ebpf_attribution_2016738.tsv,1101,11255980,2117632,13373612,1338,79680,ERR1094259_chunk_11,COMPLETED,0,1,1,1h,1 GB,8.8s,199ms,compute,51.40%,0.00%,9.4 MB,718 B,547,13,4 KB,4 KB,13.5 MB,6.7 MB,13.5 MB,6.7 MB
FLAGSTAT_BAM,c87b48d155d9fec7d4b0330cfb434917,FLAGSTAT_BAM (ERR1094279_chunk_29),/shared/bowtie2_audit_nf/work/c8/7b48d155d9fec7d4b0330cfb434917,1369749,1369871,1369877,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c87b48d155d9fec7d4b0330cfb434917/ebpf_attribution_1369871.tsv,1210,3305500,1503232,4808732,241,78583,ERR1094279_chunk_29,COMPLETED,0,1,1,1h,1 GB,32s,110ms,compute,45.00%,0.00%,2 MB,710 B,279,13,4 KB,4 KB,0,0,0,0
FLAGSTAT_BAM,c8816c71bcc128fbd7bb9c7822150737,FLAGSTAT_BAM (ERR1094264_chunk_13),/shared/bowtie2_audit_nf/work/c8/816c71bcc128fbd7bb9c7822150737,2121242,2121270,2121271,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c8816c71bcc128fbd7bb9c7822150737/ebpf_attribution_2121270.tsv,922,10797892,2072576,12870468,1623,79964,ERR1094264_chunk_13,COMPLETED,0,1,1,1h,1 GB,33.8s,197ms,compute,47.30%,0.00%,9.2 MB,718 B,520,13,7.2 MB,4 KB,13.5 MB,6.6 MB,13.5 MB,6.6 MB
